,ara,bul,dan,eng,fin,ita,nor,por,rus,spa,swa,swe,ukr
ara,0.000000,0.527100,0.539900,0.491400,0.527100,0.535600,0.565100,0.504700,0.531200,0.502800,0.502700,0.579900,0.483700
bul,0.527100,0.000000,0.440700,0.456500,0.387000,0.446300,0.533600,0.375300,0.312500,0.457000,0.538700,0.485800,0.412100
dan,0.539900,0.440700,0.000000,0.367900,0.374900,0.532700,0.220600,0.498300,0.398800,0.425900,0.767100,0.251300,0.390300
eng,0.491400,0.456500,0.367900,0.000000,0.467500,0.475600,0.440400,0.408900,0.497500,0.466200,0.546700,0.450900,0.459400
fin,0.527100,0.387000,0.374900,0.467500,0.000000,0.494300,0.426200,0.441900,0.413900,0.491300,0.541400,0.438900,0.435800
ita,0.535600,0.446300,0.532700,0.475600,0.494300,0.000000,0.586300,0.316300,0.468500,0.417600,0.515000,0.510300,0.409600
nor,0.565100,0.533600,0.220600,0.440400,0.426200,0.586300,0.000000,0.534100,0.550600,0.566200,0.628600,0.413600,0.546000
por,0.504700,0.375300,0.498300,0.408900,0.441900,0.316300,0.534100,0.000000,0.449600,0.391200,0.482600,0.464800,0.399500
rus,0.531200,0.312500,0.398800,0.497500,0.413900,0.468500,0.550600,0.449600,0.000000,0.449700,0.546800,0.529200,0.311400
spa,0.502800,0.457000,0.425900,0.466200,0.491300,0.417600,0.566200,0.391200,0.449700,0.000000,0.500800,0.540600,0.473400
swa,0.502700,0.538700,0.767100,0.546700,0.541400,0.515000,0.628600,0.482600,0.546800,0.500800,0.000000,0.595400,0.518800
swe,0.579900,0.485800,0.251300,0.450900,0.438900,0.510300,0.413600,0.464800,0.529200,0.540600,0.595400,0.000000,0.488200
ukr,0.483700,0.412100,0.390300,0.459400,0.435800,0.409600,0.546000,0.399500,0.311400,0.473400,0.518800,0.488200,0.000000
