model,attack_language,n,mean_token_inflation,mean_tokens_per_char,truncation_risk_rate
ai_sweden_llama3_8b,ara,309,1.0128346421758547,0.4867041050202616,0.0
ai_sweden_llama3_8b,bul,311,1.2372423721844952,0.47769658836855333,0.0
ai_sweden_llama3_8b,dan,312,1.0431224373124401,0.3996402869919446,0.0
ai_sweden_llama3_8b,eng,313,0.7095376964123511,0.2895943391536049,0.0
ai_sweden_llama3_8b,fin,293,1.1765634632431277,0.46948749819559205,0.0
ai_sweden_llama3_8b,ita,313,0.9948424655687155,0.35986635924074933,0.0
ai_sweden_llama3_8b,nor,310,1.0215680131383813,0.3965434283388318,0.0
ai_sweden_llama3_8b,por,312,0.9393745836078788,0.35110003531904616,0.0
ai_sweden_llama3_8b,rus,312,1.0040230622144657,0.3764515481603187,0.0
ai_sweden_llama3_8b,spa,313,0.9359696630665696,0.33617591277206604,0.0
ai_sweden_llama3_8b,swa,309,1.231622664705428,0.45787836331008336,0.0
ai_sweden_llama3_8b,swe,310,1.0,0.39991896453008063,0.0
ai_sweden_llama3_8b,ukr,303,1.052441985085783,0.4073568304364026,0.0
bggpt_7b,ara,309,2.429540665599664,1.0017017922728237,0.0
bggpt_7b,bul,311,1.0,0.33959385805999365,0.0
bggpt_7b,dan,312,1.2910686164039167,0.42790677949444844,0.0
bggpt_7b,eng,313,0.8237354311862309,0.2914091798945802,0.0
bggpt_7b,fin,293,1.441362511799709,0.49584110373031914,0.0
bggpt_7b,ita,313,1.192076361781504,0.3739553720948196,0.0
bggpt_7b,nor,311,1.2793977491286874,0.4295426096859241,0.0
bggpt_7b,por,312,1.193612996698089,0.3852961964002624,0.0
bggpt_7b,rus,312,1.2837560608791991,0.41657284801302963,0.0
bggpt_7b,spa,313,1.2075516693529393,0.3761467297400782,0.0
bggpt_7b,swa,309,1.4866219907750895,0.4790313965405962,0.0
bggpt_7b,swe,310,1.192286624331398,0.4091392037149568,0.0
bggpt_7b,ukr,303,1.380477438426974,0.4623402397819079,0.0
bggpt_gemma_9b,ara,309,0.8933168314204573,0.4323370124951037,0.0
bggpt_gemma_9b,bul,311,1.0,0.39293533128803165,0.0
bggpt_gemma_9b,dan,312,0.8776292407043564,0.33856541541904694,0.0
bggpt_gemma_9b,eng,313,0.6890731423892976,0.2826298824902747,0.0
bggpt_gemma_9b,fin,293,0.9696736360108773,0.39049623894873203,0.0
bggpt_gemma_9b,ita,313,0.8123451098271353,0.29675933988973385,0.0
bggpt_gemma_9b,nor,311,0.8608987878132695,0.3365478666961982,0.0
bggpt_gemma_9b,por,312,0.7797056926127571,0.293395400637655,0.0
bggpt_gemma_9b,rus,312,0.8468265546366909,0.32060266029461243,0.0
bggpt_gemma_9b,spa,313,0.7616020861354652,0.27666744888719247,0.0
bggpt_gemma_9b,swa,309,1.0133128383375838,0.3807787740095368,0.0
bggpt_gemma_9b,swe,241,0.8503952698512856,0.34552392788867076,0.0
bggpt_gemma_9b,ukr,303,1.0038079822846393,0.3922722771166186,0.0
gpt_sw3,ara,309,3.305128952954268,1.0717269325626901,0.0
gpt_sw3,bul,311,3.3842410052465026,0.8841102124928463,0.0
gpt_sw3,dan,312,1.0661554150653398,0.27947577821597414,0.0
gpt_sw3,eng,313,0.9987851111173798,0.2781591091123471,0.0
gpt_sw3,fin,293,1.6683583158305042,0.4498476508610065,0.0
gpt_sw3,ita,313,1.5521963727201513,0.38088970733223404,0.0
gpt_sw3,nor,311,1.0464618758538584,0.27789975048969845,0.0
gpt_sw3,por,312,1.6129490034426188,0.4082553619181492,0.0
gpt_sw3,rus,312,3.4438003525405487,0.8713577021700383,0.0
gpt_sw3,spa,313,1.6578728924360187,0.40466702580544933,0.0
gpt_sw3,swa,309,1.8209421473070346,0.4603652067704918,0.0
gpt_sw3,swe,310,1.0,0.2738053786320165,0.0
gpt_sw3,ukr,303,3.5369707438597766,0.9223470551797663,0.0
llama3_1_8b_reference,ara,309,1.2596010036836567,0.7490153950736635,0.0
llama3_1_8b_reference,bul,311,1.4586655539894753,0.6898220062683715,0.0
llama3_1_8b_reference,dan,312,1.2870033048207943,0.6088104975646013,0.0
llama3_1_8b_reference,eng,313,1.0,0.512663905668011,0.0
llama3_1_8b_reference,fin,293,1.413049695320076,0.6895906076095192,0.0
