language,total,retained,excluded,blaser_pass,blaser_flag,blaser_fail,roundtrip_pass,roundtrip_flag,roundtrip_fail,audit_reviewed
ara,313,313,0,302,11,0,184,122,7,0
bul,313,313,0,296,17,0,206,99,8,0
dan,313,313,0,305,8,0,236,73,4,0
eng,313,313,0,313,0,0,313,0,0,0
fin,313,313,0,255,58,0,124,159,30,0
ita,313,313,0,309,4,0,244,65,4,0
nor,313,313,0,307,6,0,278,35,0,0
por,313,313,0,311,2,0,261,48,4,0
rus,313,313,0,309,4,0,170,124,19,0
spa,313,313,0,312,1,0,273,38,2,0
swa,313,313,0,302,11,0,169,125,19,0
swe,313,313,0,304,9,0,234,71,8,0
ukr,313,313,0,296,17,0,178,118,17,0
