start_time,end_time,start_time_iso,end_time_iso,num_model_requests,model,batch,service_tier,input_tokens,output_tokens,input_cached_tokens,input_uncached_tokens,input_text_tokens,output_text_tokens,input_cached_text_tokens,input_audio_tokens,input_cached_audio_tokens,output_audio_tokens,input_image_tokens,input_cached_image_tokens,output_image_tokens
1778025600,1778025660,2026-05-06T00:00:00+00:00,2026-05-06T00:01:00+00:00,,,,,,,,,,,,,,,,,
1778025660,1778025720,2026-05-06T00:01:00+00:00,2026-05-06T00:02:00+00:00,,,,,,,,,,,,,,,,,
1778025720,1778025780,2026-05-06T00:02:00+00:00,2026-05-06T00:03:00+00:00,,,,,,,,,,,,,,,,,
1778025780,1778025840,2026-05-06T00:03:00+00:00,2026-05-06T00:04:00+00:00,,,,,,,,,,,,,,,,,
1778025840,1778025900,2026-05-06T00:04:00+00:00,2026-05-06T00:05:00+00:00,,,,,,,,,,,,,,,,,
1778025900,1778025960,2026-05-06T00:05:00+00:00,2026-05-06T00:06:00+00:00,,,,,,,,,,,,,,,,,
1778025960,1778026020,2026-05-06T00:06:00+00:00,2026-05-06T00:07:00+00:00,,,,,,,,,,,,,,,,,
1778026020,1778026080,2026-05-06T00:07:00+00:00,2026-05-06T00:08:00+00:00,,,,,,,,,,,,,,,,,
1778026080,1778026140,2026-05-06T00:08:00+00:00,2026-05-06T00:09:00+00:00,,,,,,,,,,,,,,,,,
1778026140,1778026200,2026-05-06T00:09:00+00:00,2026-05-06T00:10:00+00:00,,,,,,,,,,,,,,,,,
1778026200,1778026260,2026-05-06T00:10:00+00:00,2026-05-06T00:11:00+00:00,,,,,,,,,,,,,,,,,
1778026260,1778026320,2026-05-06T00:11:00+00:00,2026-05-06T00:12:00+00:00,,,,,,,,,,,,,,,,,
1778026320,1778026380,2026-05-06T00:12:00+00:00,2026-05-06T00:13:00+00:00,,,,,,,,,,,,,,,,,
1778026380,1778026440,2026-05-06T00:13:00+00:00,2026-05-06T00:14:00+00:00,,,,,,,,,,,,,,,,,
1778026440,1778026500,2026-05-06T00:14:00+00:00,2026-05-06T00:15:00+00:00,,,,,,,,,,,,,,,,,
1778026500,1778026560,2026-05-06T00:15:00+00:00,2026-05-06T00:16:00+00:00,,,,,,,,,,,,,,,,,
1778026560,1778026620,2026-05-06T00:16:00+00:00,2026-05-06T00:17:00+00:00,,,,,,,,,,,,,,,,,
1778026620,1778026680,2026-05-06T00:17:00+00:00,2026-05-06T00:18:00+00:00,,,,,,,,,,,,,,,,,
1778026680,1778026740,2026-05-06T00:18:00+00:00,2026-05-06T00:19:00+00:00,,,,,,,,,,,,,,,,,
1778026740,1778026800,2026-05-06T00:19:00+00:00,2026-05-06T00:20:00+00:00,,,,,,,,,,,,,,,,,
1778026800,1778026860,2026-05-06T00:20:00+00:00,2026-05-06T00:21:00+00:00,,,,,,,,,,,,,,,,,
1778026860,1778026920,2026-05-06T00:21:00+00:00,2026-05-06T00:22:00+00:00,,,,,,,,,,,,,,,,,
1778026920,1778026980,2026-05-06T00:22:00+00:00,2026-05-06T00:23:00+00:00,,,,,,,,,,,,,,,,,
1778026980,1778027040,2026-05-06T00:23:00+00:00,2026-05-06T00:24:00+00:00,,,,,,,,,,,,,,,,,
1778027040,1778027100,2026-05-06T00:24:00+00:00,2026-05-06T00:25:00+00:00,,,,,,,,,,,,,,,,,
1778027100,1778027160,2026-05-06T00:25:00+00:00,2026-05-06T00:26:00+00:00,,,,,,,,,,,,,,,,,
1778027160,1778027220,2026-05-06T00:26:00+00:00,2026-05-06T00:27:00+00:00,,,,,,,,,,,,,,,,,
1778027220,1778027280,2026-05-06T00:27:00+00:00,2026-05-06T00:28:00+00:00,,,,,,,,,,,,,,,,,
1778027280,1778027340,2026-05-06T00:28:00+00:00,2026-05-06T00:29:00+00:00,,,,,,,,,,,,,,,,,
1778027340,1778027400,2026-05-06T00:29:00+00:00,2026-05-06T00:30:00+00:00,,,,,,,,,,,,,,,,,
1778027400,1778027460,2026-05-06T00:30:00+00:00,2026-05-06T00:31:00+00:00,,,,,,,,,,,,,,,,,
1778027460,1778027520,2026-05-06T00:31:00+00:00,2026-05-06T00:32:00+00:00,,,,,,,,,,,,,,,,,
1778027520,1778027580,2026-05-06T00:32:00+00:00,2026-05-06T00:33:00+00:00,,,,,,,,,,,,,,,,,
1778027580,1778027640,2026-05-06T00:33:00+00:00,2026-05-06T00:34:00+00:00,,,,,,,,,,,,,,,,,
1778027640,1778027700,2026-05-06T00:34:00+00:00,2026-05-06T00:35:00+00:00,,,,,,,,,,,,,,,,,
1778027700,1778027760,2026-05-06T00:35:00+00:00,2026-05-06T00:36:00+00:00,,,,,,,,,,,,,,,,,
1778027760,1778027820,2026-05-06T00:36:00+00:00,2026-05-06T00:37:00+00:00,,,,,,,,,,,,,,,,,
1778027820,1778027880,2026-05-06T00:37:00+00:00,2026-05-06T00:38:00+00:00,,,,,,,,,,,,,,,,,
1778027880,1778027940,2026-05-06T00:38:00+00:00,2026-05-06T00:39:00+00:00,,,,,,,,,,,,,,,,,
1778027940,1778028000,2026-05-06T00:39:00+00:00,2026-05-06T00:40:00+00:00,,,,,,,,,,,,,,,,,
1778028000,1778028060,2026-05-06T00:40:00+00:00,2026-05-06T00:41:00+00:00,,,,,,,,,,,,,,,,,
1778028060,1778028120,2026-05-06T00:41:00+00:00,2026-05-06T00:42:00+00:00,,,,,,,,,,,,,,,,,
1778028120,1778028180,2026-05-06T00:42:00+00:00,2026-05-06T00:43:00+00:00,,,,,,,,,,,,,,,,,
1778028180,1778028240,2026-05-06T00:43:00+00:00,2026-05-06T00:44:00+00:00,,,,,,,,,,,,,,,,,
1778028240,1778028300,2026-05-06T00:44:00+00:00,2026-05-06T00:45:00+00:00,,,,,,,,,,,,,,,,,
1778028300,1778028360,2026-05-06T00:45:00+00:00,2026-05-06T00:46:00+00:00,,,,,,,,,,,,,,,,,
1778028360,1778028420,2026-05-06T00:46:00+00:00,2026-05-06T00:47:00+00:00,,,,,,,,,,,,,,,,,
1778028420,1778028480,2026-05-06T00:47:00+00:00,2026-05-06T00:48:00+00:00,,,,,,,,,,,,,,,,,
1778028480,1778028540,2026-05-06T00:48:00+00:00,2026-05-06T00:49:00+00:00,,,,,,,,,,,,,,,,,
1778028540,1778028600,2026-05-06T00:49:00+00:00,2026-05-06T00:50:00+00:00,,,,,,,,,,,,,,,,,
1778028600,1778028660,2026-05-06T00:50:00+00:00,2026-05-06T00:51:00+00:00,,,,,,,,,,,,,,,,,
1778028660,1778028720,2026-05-06T00:51:00+00:00,2026-05-06T00:52:00+00:00,,,,,,,,,,,,,,,,,
1778028720,1778028780,2026-05-06T00:52:00+00:00,2026-05-06T00:53:00+00:00,,,,,,,,,,,,,,,,,
1778028780,1778028840,2026-05-06T00:53:00+00:00,2026-05-06T00:54:00+00:00,,,,,,,,,,,,,,,,,
1778028840,1778028900,2026-05-06T00:54:00+00:00,2026-05-06T00:55:00+00:00,,,,,,,,,,,,,,,,,
1778028900,1778028960,2026-05-06T00:55:00+00:00,2026-05-06T00:56:00+00:00,,,,,,,,,,,,,,,,,
1778028960,1778029020,2026-05-06T00:56:00+00:00,2026-05-06T00:57:00+00:00,,,,,,,,,,,,,,,,,
1778029020,1778029080,2026-05-06T00:57:00+00:00,2026-05-06T00:58:00+00:00,,,,,,,,,,,,,,,,,
1778029080,1778029140,2026-05-06T00:58:00+00:00,2026-05-06T00:59:00+00:00,,,,,,,,,,,,,,,,,
1778029140,1778029200,2026-05-06T00:59:00+00:00,2026-05-06T01:00:00+00:00,,,,,,,,,,,,,,,,,
1778029200,1778029260,2026-05-06T01:00:00+00:00,2026-05-06T01:01:00+00:00,,,,,,,,,,,,,,,,,
1778029260,1778029320,2026-05-06T01:01:00+00:00,2026-05-06T01:02:00+00:00,,,,,,,,,,,,,,,,,
1778029320,1778029380,2026-05-06T01:02:00+00:00,2026-05-06T01:03:00+00:00,,,,,,,,,,,,,,,,,
1778029380,1778029440,2026-05-06T01:03:00+00:00,2026-05-06T01:04:00+00:00,,,,,,,,,,,,,,,,,
1778029440,1778029500,2026-05-06T01:04:00+00:00,2026-05-06T01:05:00+00:00,,,,,,,,,,,,,,,,,
1778029500,1778029560,2026-05-06T01:05:00+00:00,2026-05-06T01:06:00+00:00,,,,,,,,,,,,,,,,,
1778029560,1778029620,2026-05-06T01:06:00+00:00,2026-05-06T01:07:00+00:00,,,,,,,,,,,,,,,,,
1778029620,1778029680,2026-05-06T01:07:00+00:00,2026-05-06T01:08:00+00:00,,,,,,,,,,,,,,,,,
1778029680,1778029740,2026-05-06T01:08:00+00:00,2026-05-06T01:09:00+00:00,,,,,,,,,,,,,,,,,
1778029740,1778029800,2026-05-06T01:09:00+00:00,2026-05-06T01:10:00+00:00,,,,,,,,,,,,,,,,,
1778029800,1778029860,2026-05-06T01:10:00+00:00,2026-05-06T01:11:00+00:00,,,,,,,,,,,,,,,,,
1778029860,1778029920,2026-05-06T01:11:00+00:00,2026-05-06T01:12:00+00:00,,,,,,,,,,,,,,,,,
1778029920,1778029980,2026-05-06T01:12:00+00:00,2026-05-06T01:13:00+00:00,,,,,,,,,,,,,,,,,
1778029980,1778030040,2026-05-06T01:13:00+00:00,2026-05-06T01:14:00+00:00,,,,,,,,,,,,,,,,,
1778030040,1778030100,2026-05-06T01:14:00+00:00,2026-05-06T01:15:00+00:00,,,,,,,,,,,,,,,,,
1778030100,1778030160,2026-05-06T01:15:00+00:00,2026-05-06T01:16:00+00:00,,,,,,,,,,,,,,,,,
1778030160,1778030220,2026-05-06T01:16:00+00:00,2026-05-06T01:17:00+00:00,,,,,,,,,,,,,,,,,
1778030220,1778030280,2026-05-06T01:17:00+00:00,2026-05-06T01:18:00+00:00,,,,,,,,,,,,,,,,,
1778030280,1778030340,2026-05-06T01:18:00+00:00,2026-05-06T01:19:00+00:00,,,,,,,,,,,,,,,,,
1778030340,1778030400,2026-05-06T01:19:00+00:00,2026-05-06T01:20:00+00:00,,,,,,,,,,,,,,,,,
1778030400,1778030460,2026-05-06T01:20:00+00:00,2026-05-06T01:21:00+00:00,,,,,,,,,,,,,,,,,
1778030460,1778030520,2026-05-06T01:21:00+00:00,2026-05-06T01:22:00+00:00,,,,,,,,,,,,,,,,,
1778030520,1778030580,2026-05-06T01:22:00+00:00,2026-05-06T01:23:00+00:00,,,,,,,,,,,,,,,,,
1778030580,1778030640,2026-05-06T01:23:00+00:00,2026-05-06T01:24:00+00:00,,,,,,,,,,,,,,,,,
1778030640,1778030700,2026-05-06T01:24:00+00:00,2026-05-06T01:25:00+00:00,,,,,,,,,,,,,,,,,
1778030700,1778030760,2026-05-06T01:25:00+00:00,2026-05-06T01:26:00+00:00,,,,,,,,,,,,,,,,,
1778030760,1778030820,2026-05-06T01:26:00+00:00,2026-05-06T01:27:00+00:00,,,,,,,,,,,,,,,,,
1778030820,1778030880,2026-05-06T01:27:00+00:00,2026-05-06T01:28:00+00:00,,,,,,,,,,,,,,,,,
1778030880,1778030940,2026-05-06T01:28:00+00:00,2026-05-06T01:29:00+00:00,,,,,,,,,,,,,,,,,
1778030940,1778031000,2026-05-06T01:29:00+00:00,2026-05-06T01:30:00+00:00,,,,,,,,,,,,,,,,,
1778031000,1778031060,2026-05-06T01:30:00+00:00,2026-05-06T01:31:00+00:00,,,,,,,,,,,,,,,,,
1778031060,1778031120,2026-05-06T01:31:00+00:00,2026-05-06T01:32:00+00:00,,,,,,,,,,,,,,,,,
1778031120,1778031180,2026-05-06T01:32:00+00:00,2026-05-06T01:33:00+00:00,,,,,,,,,,,,,,,,,
1778031180,1778031240,2026-05-06T01:33:00+00:00,2026-05-06T01:34:00+00:00,,,,,,,,,,,,,,,,,
1778031240,1778031300,2026-05-06T01:34:00+00:00,2026-05-06T01:35:00+00:00,,,,,,,,,,,,,,,,,
1778031300,1778031360,2026-05-06T01:35:00+00:00,2026-05-06T01:36:00+00:00,,,,,,,,,,,,,,,,,
1778031360,1778031420,2026-05-06T01:36:00+00:00,2026-05-06T01:37:00+00:00,,,,,,,,,,,,,,,,,
1778031420,1778031480,2026-05-06T01:37:00+00:00,2026-05-06T01:38:00+00:00,,,,,,,,,,,,,,,,,
1778031480,1778031540,2026-05-06T01:38:00+00:00,2026-05-06T01:39:00+00:00,,,,,,,,,,,,,,,,,
